Marca temporal,1 – Comprensión y aprendizaje [1. El uso del PLC EDUPI4.0 me ha ayudado a comprender mejor el funcionamiento de los sistemas de automatización.],1 – Comprensión y aprendizaje [2. He entendido mejor la relación entre teoría y práctica gracias al uso del dispositivo.],1 – Comprensión y aprendizaje [3. El uso del PLC EDUPI4.0 ha mejorado mi comprensión de entradas y salidas digitales.],1 – Comprensión y aprendizaje [4. Me siento más capaz de diseñar un sistema de automatización básico tras usar el PLC EDUPI4.0.],1 – Comprensión y aprendizaje [5. El uso del dispositivo ha facilitado el aprendizaje de conceptos de electrónica industrial.],2 – Experiencia práctica [6. El uso de un dispositivo físico es más útil que trabajar únicamente con simuladores.],2 – Experiencia práctica [7. He podido interactuar suficientemente con el equipo durante la práctica.],2 – Experiencia práctica [8. El dispositivo permite realizar prácticas similares a las del entorno industrial.],2 – Experiencia práctica [9. El uso del PLC EDUPI4.0 ha hecho las prácticas más interesantes.],2 – Experiencia práctica [10. Me gustaría utilizar este tipo de dispositivos en otras asignaturas.],3 – Motivación e implicación [11. El uso del PLC EDUPI4.0 ha aumentado mi motivación en la asignatura.],3 – Motivación e implicación [12. Las prácticas con EDUPI4.0 me han resultado más atractivas que las tradicionales.],3 – Motivación e implicación [13. Me he sentido más implicado en las prácticas al trabajar con el dispositivo.],3 – Motivación e implicación [14. El uso del PLC EDUPI4.0 ha despertado mi interés por la automatización industrial.],5 – Realismo industrial [20.	Este equipo es una alternativa productiva y realista para practicar antes de pasar a un entorno industrial crítico.],5 – Realismo industrial [21.	El uso del dispositivo me ha ayudado a comprender y realizar el esquema de una instalación real.],5 – Realismo industrial [22.	Tras utilizar este PLC didáctico me ha resultado sencillo dar el salto a un Siemens LOGO!.],5 – Realismo industrial [23.	Con ayuda de una IA considero que puedo dar el salto a la programación de un Siemens S7-1200 o similar de forma asequible.],6 – Valor y accesibilidad  [24.	Considero que el bajo coste del dispositivo es una ventaja importante.],6 – Valor y accesibilidad  [25.	Me gustaría disponer de un dispositivo similar para uso personal.],6 – Valor y accesibilidad  [26.	Este tipo de solución debería implantarse en más centros educativos.],28. ¿Qué es lo que más te ha gustado del uso del PLC EDUPI4.0?  ,29. ¿Qué mejorarías del dispositivo o de la práctica?  ,30. ¿Qué diferencia has notado respecto a prácticas tradicionales?  ,4 – Usabilidad del dispositivo  [15.	El dispositivo es fácil de usar.],4 – Usabilidad del dispositivo  [16.	La conexión de sensores y actuadores resulta intuitiva.],4 – Usabilidad del dispositivo  [17.	El sistema es robusto y funciona correctamente durante las prácticas.],4 – Usabilidad del dispositivo  [18. La conexión entre Codesys y el dispositivo es sencilla y fluida],4 – Usabilidad del dispositivo  [19.	El dispositivo tiene un diseño adecuado para el aprendizaje.],"7 – Opinión [27. Comparado con prácticas tradicionales, el uso de EDUPI4.0 ha sido:]",6 – Valor y accesibilidad  [25.	Me gustaría disponer de un dispositivo similar para uso personal.],6 – Valor y accesibilidad  [26.	Este tipo de solución debería implantarse en más centros educativos.]
9/04/2026 20:36:32,De acuerdo,De acuerdo,Neutral,Neutral,Neutral,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Totalmente en acuerdo,Neutral,Neutral,Neutral,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo, , , ,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,Mejor,,
9/04/2026 20:44:26,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,Ninguna,Neutral,Neutral,Neutral,Neutral,Neutral,Igual,,
9/04/2026 21:43:35,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,De acuerdo,De acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Poder llegar a comprender esa tecnología y llevarla a casos prácticos.,Nada ,Que no es algo tan clásico y sin embargo es aplicamos las nuevas tecnologías.,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Mejor,,
10/04/2026 16:18:52,De acuerdo,De acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Neutral,Totalmente en acuerdo,De acuerdo,De acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,El poder ver como la placa funciona con el programa realizado,Alguna practica más elaborada ,Te resulta mas sencillo de ver con la placa que viendo solo el programa,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Mucho mejor,,
10/04/2026 22:55:21,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,De acuerdo,De acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,De acuerdo,De acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,"Interactuar de forma tangible entre el conexionado del dispositivo y su posterior automatización, es importante ya que se comprende todo de forma más clara y resuelves dudas anteriores que te puedan surgir.",Quizás mejoraría su mayor precisión pensada para entornos industriales donde la precisión sea clave en el proceso.,"La diferencia que he podido notar es complementar la lógica cableada de un dispositivo y posteriormente interactuar con ella de forma programada, utilizando programas y comunicaciones entre ambos. Otro tipo de prácticas donde el cableado es fundamental entenderlo a la perfección, quizás no se interactúa de la misma forma que en la anterior.",De acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Mucho mejor,,
16/04/2026 20:06:16,En desacuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,Neutral,Totalmente en desacuerdo,De acuerdo,Totalmente en acuerdo,Totalmente en desacuerdo,Neutral,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en acuerdo,Totalmente en desacuerdo,Totalmente en acuerdo,Simple de utilizar,"La calidad de las salidas a relé, muchos tornillos se estropeaban ",La simpleza ,De acuerdo,De acuerdo,De acuerdo,Totalmente en desacuerdo,Totalmente en acuerdo,Mejor,,
16/04/2026 20:49:23,De acuerdo,Totalmente en acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente en acuerdo,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente en acuerdo,De acuerdo,De acuerdo,De acuerdo,Totalmente en acuerdo,De acuerdo,Totalmente en acuerdo,Sus diferentes finalidades ,Nada,Que son más “realistas” ,Neutral,De acuerdo,De acuerdo,Neutral,Totalmente en acuerdo,Mucho mejor,,
17/04/2026 17:33:07,Neutral,De acuerdo,En desacuerdo,Neutral,En desacuerdo,De acuerdo,Neutral,En desacuerdo,En desacuerdo,En desacuerdo,Neutral,De acuerdo,De acuerdo,De acuerdo,Neutral,Neutral,Neutral,Neutral,De acuerdo,Neutral,De acuerdo,como funciona,mas tiempo,la conexion,En desacuerdo,Neutral,Neutral,Neutral,Neutral,Igual,,
18/04/2026 17:12:00,Neutral,De acuerdo,De acuerdo,Neutral,Neutral,Totalmente en acuerdo,Neutral,Neutral,De acuerdo,Neutral,En desacuerdo,Neutral,Neutral,Neutral,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Neutral,De acuerdo,.,-,-,Neutral,Neutral,Neutral,En desacuerdo,Neutral,Mejor,,
19/04/2026 20:35:25,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,no,no,ninguna,Neutral,Neutral,Neutral,Neutral,Neutral,Igual,,